City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Celendin,PE,-6.8703,-78.1517,57.72,63,99,7.11,light rain
331,Dossor,KZ,47.5272,52.9811,32.59,95,100,7.0,overcast clouds
332,Swindon,GB,51.558,-1.7812,41.59,87,0,9.22,clear sky
333,Atar,MR,20.5169,-13.0499,72.46,15,46,13.71,scattered clouds
334,Talcahuano,CL,-36.7167,-73.1167,69.48,49,0,17.27,clear sky
335,Ghanzi,BW,-21.5667,21.7833,70.61,71,1,4.32,clear sky
336,Awbari,LY,26.5921,12.7805,52.23,34,0,8.05,clear sky
337,Imeni Poliny Osipenko,RU,52.4201,136.4853,6.04,95,100,6.17,overcast clouds
338,Iglino,RU,54.8324,56.4126,19.49,97,93,5.82,light snow
339,West Wendover,US,40.7391,-114.0733,56.14,23,53,5.32,broken clouds
340,Burnie,AU,-41.0667,145.9167,55.92,83,98,9.37,overcast clouds
341,Menomonie,US,44.8755,-91.9193,24.84,68,100,21.85,overcast clouds
342,Aginskoye,RU,51.1,114.53,-16.01,95,79,4.97,broken clouds
343,Sunrise Manor,US,36.2111,-115.0731,76.87,18,0,10.36,clear sky
